Unnamed: 0,title,channelId,thumbnailUrl,videoId,type_video,viewCount,subscriberCount,videoCount,keywords,views/subscriber
54,M3 MAX MacBook Pro 3 Months later… MAXED OUT! (but was it worth it?),UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/mBdSq6QL2cg/mqdefault.jpg,mBdSq6QL2cg,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
55,Ray-Ban Meta Smart Glasses just got WAY Smarter!!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/H-dvkLK651A/mqdefault.jpg,H-dvkLK651A,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
56,The best iPad Pro is the iPad Air!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/nEmZAJipiE8/mqdefault.jpg,nEmZAJipiE8,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
57,NOW is a great time to buy the iPad Mini 6!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/godb_npcLG8/mqdefault.jpg,godb_npcLG8,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
58,Do NOT buy the iPhone 12 Pro!!! | iPhone 12 Black Review (24 hours later),UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/Ct6U3ksEyoo/mqdefault.jpg,Ct6U3ksEyoo,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
59,iPadOS15 - EVERYTHING you need to know!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/YuCaoj2_kFo/mqdefault.jpg,YuCaoj2_kFo,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
60,M2 Macbook Air - Is it better to upgrade to 16GB RAM or 512GB storage?,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/0Kq_3QndYoU/mqdefault.jpg,0Kq_3QndYoU,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
61,New iPad Pro 2021 Magic Keyboard  - Confirmed (?),UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/01ymIshGUjw/mqdefault.jpg,01ymIshGUjw,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
62,iPad Pro Magic Keyboard review - should you buy it?,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/N0rEVbqLnvg/mqdefault.jpg,N0rEVbqLnvg,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
63,Base model M2 MacBook Air 9 months later - How did it hold up??,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/-wB66m-B1fw/mqdefault.jpg,-wB66m-B1fw,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
64,Decision time!! | iPhone 12 mini vs iPhone 12 vs iPhone 12 Pro Max,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/wwDXcfR67Yo/mqdefault.jpg,wwDXcfR67Yo,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
65,"iPad Pro Magic Keyboard, 6 months later: Am I disappointed?",UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/t7hEmFtINIw/mqdefault.jpg,t7hEmFtINIw,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
66,M1 iPad Pro still kills it in 2023! Here’s why 🔥,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/Ja-C-nMrDx0/mqdefault.jpg,Ja-C-nMrDx0,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
67,Watch BEFORE buying the Apple MAGSAFE Battery pack! - Which iPhone battery pack should I get?,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/VwbQXWYIjtg/mqdefault.jpg,VwbQXWYIjtg,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
68,M2 MacBook Pro AND M2 Mac Mini! (M2 Pro - M2 Max chips!),UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/kki-5SKUnRI/mqdefault.jpg,kki-5SKUnRI,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
69,I got the M2 Pro Mac Mini -  but should YOU??,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/0sVBWObuhB4/mqdefault.jpg,0sVBWObuhB4,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
70,M2 Macbook Air 2022 - don&#39;t choose WRONG!,UCAPHsK1p8ACoaK-Br3nZaqw,https://i.ytimg.com/vi/i_jHQZ3yS00/mqdefault.jpg,i_jHQZ3yS00,normal,25493165,173000,321,"""iPad Pro"" ""patrick rambles"" rambles ""tech reviews"" tech ""apple news"" ""apple leaks"" ""ipad pro leaks"" ""ipad pro news"" ""tech comparisons"" iphone ""iphone leaks"" ""iphone rumors"" ""apple reviews"" ""macbook pro"" ""macbook pro reviews"" ""apple news"" ""apple leaks and rumors"" ""apple watch ultra"" ""M2 macbook air"" M3 Macbook imac ""ipad mini""",147.3593352601156
