title,channelId,thumbnailUrl,videoId
Sennheiser HD 630VB Headphones Review - Adjustable Bass?!,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/7jmfOUcOFZY/mqdefault.jpg,7jmfOUcOFZY
Everyday Carry 2018 - My College Student Tech EDC,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/vkc1VhEDE6c/mqdefault.jpg,vkc1VhEDE6c
Apple iMac Changed My Life,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/tEIA7wnCG9w/mqdefault.jpg,tEIA7wnCG9w
Google Nexus 6: Size Comparison - To Other Smartphones (Mockup),UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/-qzLDwLWqqs/mqdefault.jpg,-qzLDwLWqqs
iPhone 6s vs The Original iPhone (The First iPhone/iPhone 2G),UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/vYuSWXoU2AQ/mqdefault.jpg,vYuSWXoU2AQ
Galaxy S8 - 4 Months Later - Note 8 or S8?,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/TVGtNz9AjHU/mqdefault.jpg,TVGtNz9AjHU
iPadOS 15 x iPad Pro M1 - Refined Evolution,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/7Lj1j09_-rM/mqdefault.jpg,7Lj1j09_-rM
Galaxy S8 Plus vs iPhone 7 Plus - ULTIMATE Comparison!,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/69m2csQ1fy8/mqdefault.jpg,69m2csQ1fy8
Next Level Smartphone Camera!,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/jteNhhYEngg/mqdefault.jpg,jteNhhYEngg
Dell Skylake XPS 15 9550 Review: Best Windows Laptop? (4K/Infinity Edge),UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/FOyoxhvVvq0/mqdefault.jpg,FOyoxhvVvq0
iPhone 7 Plus: One Month Later - Review,UCT3MTXYJzXrHgOXB5qicr_w,https://i.ytimg.com/vi/g7lBKWABylU/mqdefault.jpg,g7lBKWABylU
